Espécie	Nome Popular	Sinonímia	Família	Bioma	Formação Vegetal	Fitofisionomias	Presença nos estados	Período de coleta de sementes	Beneficiamento de sementes	Porcentagem de germinação	Substrato da muda	Desenvolvimento da muda no viveiro	Número de sementes/kg	Armazenamento	Semeadura	Nível de sombreamento da muda no viveiro	Tolerância a Sombra	Estratégia ecológica de ocupação	Desenvolvimento da muda no campo	Recomendação de adubação no plantio no campo	Porte da planta	Período de floração	Período de frutificação	Uso Econômico	Caducifolia	Polinização	Dispersão
Lonchocarpus cultratus(Vell.) A.M.G.Azevedo & H.C.Lima	Embira-de-sapo, Envira-piaca, Rabo-de-bugiu, Mal-casado, Falso-timbó	Lonchocarpus guilleminianus (Tul.) Malme	Fabaceae	Mata Atlântica	Florestal, Savânica	Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Restinga Arbórea/Arbustiva	AC, AL, BA, DF, ES, MG, PB, PR, RJ, RO, RS, SE, SP	Mata Atlântica - jul - set	Os frutos devem ser colhidos diretamente da árvore quando atingirem coloração parda e secados ao sol, para facilitar a abertura manual e a retirada das sementes, que devem secar à sombra, por mais 2 ou 3 dias	50 a 80% (boa)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	6100	Armazenadas a frio (5°C)	Direta em recipientes individuais		SIM (Tolerante em todo o ciclo de vida)	Diversidade			Árvore (> 3 metros)	Mata Atlântica - fev - mar	Mata Atlântica - fev - jul	Forrageiro, Latex, Medicinal, Oleaginoso, Ornamental	SIM	Abelhas	Anemocoria (vento)
Lonchocarpus sericeus(Poir.) Kunth ex DC.	Falso-ingá, Ingá-bravo, Ingazeiro (CE), Ingá (CE), Cabelouro (BA), Cabelouro-da-caatinga, Ingá-bravo (CE), Ingá-de-bucha (CE), Ingá-im, Ingá-pena-de-buchas (CE), Ingareira-braba, Guará-timbó (CE), Imburana (MA), Piaca (PE), Priaca (PB), Pau-carrapato	Robinia sericea, Lonchocarpus pyxidarius, Lonchocarpus cruentus, Derris cericea	Fabaceae	Cerrado, Pantanal	Florestal	Mata Ciliar, Mata Ripária, Mata Seca, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AC, AL, AM, BA, CE, ES, GO, MA, MS, PA, PB, PE, PI, RJ, SC, TO	Cerrado - ago ; Pantanal -  ago-set	Colher os frutos (vagens) diretamente da árvore quando iniciarem a queda espontanea. Em seguida, abri-los manualmente para a retirada das sementes que devem ser colocadas para germinação logo que colhidas.	> 80% (ótima)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	2600	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Indireta em sementeira	Pleno Sol	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - out-fev ; Pantanal -  nov a abr (Pott & Pott, 1994)	Cerrado - jun-ago ; Pantanal -  vagem - ago a set (Pott & Pott, 1994)	Madeireiro, Ornamental	NÃO	Abelhas, morcegos	Autocoria
Loudetiopsis chrysothrix(Nees) Conert	"Capim-brinco
De Princesa"	Diandrostachya chrysothrix (Nees) Jacq.-Fél., Tristachya chrysothrix fo. Chrysothrix	Poaceae	Cerrado	Campestre	Campo Limpo, Campo Rupestre	BA, DF, ES, MG, MS, MT, PA, PB, PI, PR, RJ, RN, RO, RR, RS, SC, SE, SP, TO	Cerrado - jul	Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.	10 a 19% (baixa)	"




																
								[Saiba mais]
								
								



"		200000								Erva	Cerrado - fev-mar	Cerrado - abr-nov		NÃO	Vento	Epizoocoria
Luehea candicansMart. & Zucc.	Açoita-cavalo, Mutamba-preta	Luehea uniflora A.St.-Hil.	Malvaceae	Cerrado, Pantanal	Florestal	Cerradão, Mata Seca, Mata Seca (decídua), Mata de Galeria	AM, BA, CE, DF, ES, GO, MG, MS, MT, PA, PR, RJ, RO, SP, TO	Cerrado - set-out ; Pantanal -  set-out	Os frutos devem ser coletados quando mudam a coloração de verde para marrom escura, antes da deiscência ou quando a iniciam. Após a coleta, devem ser postos sobre lonas ou bandejas e secos à sombra. Em seguida, por exposição gradativa ao sol, é completada a deiscência. Contudo, para que ocorra a liberação total das sementes, recomenda-se a agitação dos frutos.	50 a 80% (boa)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	172000	De um a dois anos em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - out-dez ; Pantanal -  out-dez	Cerrado - jul-ago ; Pantanal -  jul-ago	Artesanal, Madeireiro, Ornamental, Tanífero	SIM	Morcegos	Anemocoria (vento)
Luehea divaricataMart. & Zucc.	Açoita-cavalo (PR, RJ, SP), Açoita-cavalo-do-miudo, Açoita-cavalos-braco, Ibitinga, Ivantingui, Vatinga (SP), Acoita-cavalo-vermelho (RS), Acoita-cavalos (SC, SP), Biatingui, Caoveti, Envireira-do-campo, Estribeiro, Estriveira (BA, SP), Guaxima-do-campo, Ibatingui, Ivatingui (MG)		Malvaceae	Mata Atlântica, Pampa	Florestal, Savânica	Floresta Estacional, Floresta Estacional Decidual, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Ciliar, Restinga, Vegetaçao Savanóide	BA, DF, GO, MG, RJ, RS, SE, SP	Mata Atlântica - Abr - Out (SP), Mai  - Jul(PR, RS); Jun - Out (MG)	Após exposição gradativa do fruto ao sol, recomenda-se agitação dos frutos.	> 80% (ótima)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	200 mil a 300 mil	Sugerimos condições padrão para sementes com tolerância à dessecação: câmara seca (U.R. 20%) e fria (entre 12°C e 18°C)	Direta em recipientes individuais		INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - Dez  - Abr (PR); Dez -Jul (MG); Jan - Mar (RS); Mar - Jul (SP); Pampa - jan-fev	Mata Atlântica - Abr - mai (PR); Jun - Jul (MG);Jul - Abri (SP); Mar - Mai(RS); Pampa - jun-jul	Artesanal, Latex, Madeireiro, Medicinal, Melífero, Oleaginoso, Ornamental, Resina, Repelente	SIM	Morcegos	Anemocoria (vento)
Luehea grandifloraMart. & Zucc.	Açoita-cavalo-graúdo		Malvaceae	Mata Atlântica	Florestal	Floresta Ombrófila Densa	BA, CE, DF, GO, MA, MG, MS, MT, PA, PR, RJ, SP	Mata Atlântica - ago - out	Colher os frutos quando iniciarem a a abertura espontânea. Levar para secar ao sol. Cobrí-los com uma tela para evitar que o vento os leve.	20 a 49% (regular)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"		164000	Sugerimos condições padrão para sementes com tolerância à dessecação: câmara seca (U.R. 20%) e fria (entre 12°C e 18°C)	Indireta em sementeira		NÃO (Pioneira típica)	Recobrimento			Árvore (> 3 metros)	Mata Atlântica - mai - jul	Mata Atlântica - jul - ago	Latex, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Morcegos	Anemocoria (vento)
Luehea paniculataMart. & Zucc.	Açoita-cavalo, Açoita-cavalo-amarelo, Envireira-do-campo		Malvaceae	Cerrado, Pantanal	Campestre, Florestal, Savânica	Campo não Inundável, Cerrado Típico, Cerradão, Mata Seca, Mata Semidecídua, Mata de Galeria	AL, AM, BA, CE, DF, GO, MA, MG, MS, MT, PA, PB, PI, RJ, RS, SC, SP	Cerrado - set-out  ; Pantanal -  fev-mar	Os frutos devem ser coletados quando mudam a coloração de verde para marrom escura, antes da deiscência ou quando a iniciam. Após a coleta, devem ser postos sobre lonas ou bandejas e secos à sombra. Em seguida, por exposição gradativa ao sol, é completada a deiscência. Contudo, para que ocorra a liberação total das sementes, recomenda-se a agitação dos frutos.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	280000	De um a dois anos em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-set ; Pantanal -  ago a set (Lorenzi, 1998b)	Cerrado - out-nov ; Pantanal -  fev-mar	Artesanal, Fibra, Madeireiro, Medicinal, Ornamental	SIM	Morcegos	Anemocoria (vento)
Lupinus albescensHook. & Arn.			Fabaceae	Pampa	Campestre, Savânica	Campo Seco, Vegetaçao Savanóide	RS		A escarificação das sementes aumenta a taxa de germinação.	50 a 80% (boa)	"




																
								[Saiba mais]
								
								



"										Erva			Forrageiro			
Mabea angustifoliaSpruce ex Benth.	Mamoninha-miúda, Taquarí	Mabea angustifolia var. oblonga Benth., Mabea juinensis Emmerich, Mabea longifolia (Britton) Pax & K.Hoffm., Mabea riedelii Müll.Arg.	Euphorbiaceae	Amazônia	Campestre, Florestal, Savânica	Campinarana, Campos Naturais, Savana, Terra Firme	AC, AM, AP, GO, MA, MT, PA, RN	jul-set	Colher os frutos diretamente da árvore antes da abertura natural. Em seguida, devem ser deixados para secar em local arejado sobre lona e sob tela fina, o que ajuda a evitar a perda de sementes.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	NÃO (Pioneira típica)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Arvoreta (≤  3 metros)	mar-jun	jun-set		SIM	abelhas, moscas	Autocoria
Mabea fistuliferaMart.	Canudeiro, Canudo-de-cachimbo, Mamoneira-do-mato, Mamona-do-mato, Raiz-de-tiú, Mamoninha, Manoneiro, Mamoninha-do-mato		Euphorbiaceae	Cerrado, Mata Atlântica, Pantanal	Campestre, Florestal, Savânica	Campos Rupestres, Cerrado Típico, Cerradão, Floresta Estacional Decidual, Floresta Estacional Sempre Verde, Floresta Ombrófila Densa, Mata Ciliar, Mata Semidecídua, Mata de Galeria	AC, BA, DF, ES, GO, MG, MS, MT, PA, RJ, SP	Cerrado - nov -jan  ; Mata Atlântica - set-out ; Pantanal -  nov -jan	Colher os frutos diretamente da árvore quando iniciarem a abertura espontânea. Em seguida levá-las ao sol para abertura e liberação das sementes. Devido a deiscência explosiva cobri-las com saco plástico para evitar a perda de sementes.	50 a 80% (boa)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Muito Rápido ( > 100 cm/ano)	9600	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Recobrimento	Muito Rápido ( > 100 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - mai-jul ; Mata Atlântica - jan - abr ; Pantanal -  mai-jul	Cerrado - nov -jan  ; Mata Atlântica - abr - set ; Pantanal -  nov -jan	Artesanal, Madeireiro, Ornamental	NÃO	Abelhas, moscas	Autocoria
Mabea taquariAubl.	Taquarí	Mabea schomburgkii Benth., Mabea taquari var. angustifolia Müll.Arg., Mabea taquari var. genuina Müll.Arg., Maprounea glauca Desv.	Euphorbiaceae	Amazônia	Campestre, Florestal, Savânica	Campinarana, Campos Naturais, Mata Ciliar, Savana, Terra Firme	AM, AP, MA, PA, RR	ago-nov	Colher os frutos diretamente da árvore antes da abertura natural. Em seguida, devem ser deixados para secar em local arejado sobre lona e sob tela fina, o que ajuda a evitar a perda de sementes.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)		Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	INDIFERENTE (Tolerante no início do ciclo)	Recobrimento	Rápido (entre 30 e 100 cm/ano)	**Amazônia S01	Arvoreta (≤  3 metros)	mar-abr	ago-nov		SIM	abelhas, moscas	Autocoria
Machaerium acutifoliumVogel	Carvão-branco, Jacarandá-do-campo, Jacarandá-bico-de-papagaio, Bico-de-pato, Guaximbé, Jacarandá-tã	Machaerium muticum Benth.	Fabaceae	Cerrado, Mata Atlântica, Pantanal	Campestre, Florestal, Savânica	Campo de Altitude (morraria), Campos Rupestres, Cerrado Rupestre, Cerrado Típico, Cerradão, Floresta Estacional Decidual, Floresta Estacional Semidecidual, Mata Seca, Mata Seca (decídua), Mata Semidecídua	BA, CE, DF, GO, MA, MG, MS, MT, PA, PB, PI, PR, RO, SP, TO	Cerrado - mai-set   ; Mata Atlântica - ago - set; Pantanal -  mai-set	Colher os frutos diretamente da árvore quando iniciarem a queda espontanea. Os frutos podem ser diretamente usados para a semeadura.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	3000	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	50%	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - out-jan ; Mata Atlântica - out - nov (jan); Pantanal -  out-jan	Cerrado - jun-nov ; Mata Atlântica - jul - ago (jun-nov); Pantanal -  jun-nov	Madeireiro, Medicinal, Ornamental	NÃO	Abelhas	Anemocoria (vento)
Machaerium hirtum(Vell.) Stellfeld	Barreiro, Bico De Pato, Jacarandá Bico De Pato, Sete Casacas, Pau-de-angu, Jacarandá De Espinho, Jacarandá-rosa, Espinheira, Barreirinho	Nissolia hirta Vell., Machaerium acaciefolium Mart. ex Benth., Machaerium affine Benth., Machaerium angustifolium Vogel, Machaerium bolivianum Gand., Machaerium glabratum Pittier, Machaerium glabripes Pittier, Machaerium jacarandifolium Rusby, Machaerium pilosum Benth., Machaerium rectipes Pittier	Fabaceae	Cerrado, Mata Atlântica, Pantanal	Campestre, Florestal, Savânica	Campo Inundável, Chaco, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Mata Ripária, Mata Seca, Mata de Galeria	AC, AL, AM, BA, CE, DF, ES, GO, MA, MG, MS, MT, PA, PB, PE, PI, PR, RJ, RN, SC, SE, SP, TO	Cerrado - abr-jul ; Mata Atlântica - jan - mar	Colher os frutos diretamente da árvore quando iniciarem a queda espontanea. Os frutos podem ser diretamente usados para a semeadura.	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	1900 a 4000	Tempo indeterminado em câmara fria.	Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Lento (até 30 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - jan-mai ; Mata Atlântica - set - jan (jan-mai) ; Pantanal -  set - jan (Pott & Pott, 1994)	Cerrado - abr-jul ; Mata Atlântica - mar - out (abr-jun) ; Pantanal -  Fruto em grande quantidade, permanece vários meses secos na planta (Pott & Pott, 1994)	Madeireiro, Medicinal, Ornamental	SIM	Abelhas	Anemocoria (vento)
Machaerium nyctitans(Vell.) Benth.	Bico-de-pato, Rabugio-amarelo, Guampa-de-bode, Jacarandá-com-espinho	Nissolia nyctitans Vell., Machaerium gardneri Benth., Machaerium kuhlmannii Hoehne, Machaerium nyctitans var. gardneri (Benth.) Rudd, Machaerium sericiflorum Gardn.	Fabaceae	Mata Atlântica	Florestal	Floresta Estacional Semidecidual, Floresta Ombrófila Densa	BA, ES, MG, PR, RJ, RS, SE, SP	Mata Atlântica - set - out	Colher os frutos quando iniciarem a queda espontânea. Os frutos podem ser utilizados diretamente na semeadura.	20 a 49% (regular)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	5200	Sugerimos condições padrão para sementes com tolerância à dessecação: câmara seca (U.R. 20%)	Indireta em sementeira		NÃO (Pioneira típica)	Diversidade			Árvore (> 3 metros)	Mata Atlântica - fev -mai	Mata Atlântica - jun - set	Latex, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Abelhas	Anemocoria (vento)
Machaerium opacumVogel	Jacarandatã-do-campo, Jacarandá, Jacarandá-do-campo, Jacarandá-do-cerrado, Jacarandá-da-bahia, Jacarandá-cascudo	Machaerium campestre Mart. ex Benth..	Fabaceae	Cerrado	Florestal, Savânica	Cerrado Rupestre, Cerrado Típico, Cerradão	BA, DF, GO, MG, MT, PI, TO	Cerrado - jun-set	Colher os frutos diretamente da árvore quando iniciarem a queda espontanea. Os frutos podem ser diretamente usados para a semeadura.	20 a 49% (regular)	"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	1800 a 2500	Tempo indeterminado em câmara fria.	Direta em recipientes individuais	Pleno Sol	NÃO (Pioneira típica)	Diversidade	Lento (até 30 cm/ano)	P2=> BDPF: espécies de Cerrado (Ex.: Caryocar brasiliense, Eugenia dysenterica)	Árvore (> 3 metros)	Cerrado - out-jan	Cerrado - jan-abr	Madeireiro, Ornamental	SIM	Abelhas	Anemocoria (vento)
Machaerium paraguarienseHassl.	Canela-do-brejo, Farinha-seca, Pau-de-malho	Machaerium paraguariense var. cuspidatum Hassl. ex Tamayo	Fabaceae	Pampa	Florestal	Floresta Estacional, Mata Ciliar	BA, DF, ES, GO, MG, MS, MT, PR, RJ, RS, SC, SP		Colher os frutos diretamente da árvore antes de iniciarem a queda. Os frutos podem ser usados diretamente para semeadura.	10 a 19% (baixa)	"




																
								[Saiba mais]
								
								



"	lento (até 30 cm/ano)	3100	recalcitrante, perdendo a viabilidade em 6 meses	Direta em recipientes individuais		INDIFERENTE (Tolerante no início do ciclo)	Diversidade	Rápido (entre 30 e 100 cm/ano)		Árvore (> 3 metros)	dez-jan	abr-jun	Latex, Medicinal, Oleaginoso	SIM	abelhas e diversos insetos pequenos	Anemocoria (vento)
Machaerium stipitatum(DC.) Vogel	Monjolinho, João-pelado, Farinha-seca, Jacarandá-branco, Sapuvá, Sapuvussu, Canela-brejo	Machaerium minutiflora Tul.	Fabaceae	Mata Atlântica, Pampa	Florestal	Floresta Estacional, Floresta Estacional Semidecidual, Floresta Ombrófila Densa, Floresta Ombrófila Mista, Mata Ciliar, Restinga	BA, DF, ES, GO, MG, MS, PR, RJ, RS, SE, SP	Mata Atlântica - set - out	Colher os frutos quando iniciarem a queda espontânea. Os frutos podem ser utilizados diretamente na semeadura.	20 a 49% (regular)	"


Compostos orgânicos (esterco bovino, casca de eucalipto, bagaço de cana) + terra + vermiculita. Mais informações no MANUAL TÉCNICO PARA A RESTAURAÇÃO DE ÁREAS DEGRADADAS NO ESTADO DO RIO DE JANEIRO (Moraes et al., 2012).

																
								[Saiba mais]
								
								



"	Lento (até 30 cm/ano)	5400 a 6300	recalcitrante, durando 30 dias em ambiente não controlado	Indireta em sementeira		NÃO (Pioneira típica)	Diversidade	Rápido (entre 30 e 100 cm/ano)		Árvore (> 3 metros)	Mata Atlântica - fev - abr; Pampa - dez-jan	Mata Atlântica - abr - set; Pampa - mar-mai	Latex, Madeireiro, Oleaginoso, Ornamental	SIM	Abelhas	Anemocoria (vento)
Machaerium villosumVogel	Jacarandá-paulista, Jacarandá-do-mato, Jacarandá-pardo, Jacarandá-do-cerradão	heterotípico Machaerium lanatum Tul.	Fabaceae	Pantanal	Florestal	Mata Ripária, Mata Semidecídua	BA, CE, DF, GO, MG, MS, PI, PR, SP	Pantanal -  ago-set	Colher os frutos diretamente da árvore quando iniciarem a queda espontânea. Os frutos assim obtidos devem ser diretamente utilizados para a semeadura como se fossem sementes, uma vez que sua abertura e retirada das sementes é praticamente impossivel. (Lorenzi, 1998a)		"


T1 Cerrado (BDPF = BEM DRENADO POUCO FÉRTIL)

																
								[Saiba mais]
								
								



"		2100		Indireta em sementeira	50%	INDIFERENTE (Tolerante no início do ciclo)	Diversidade			Árvore (> 3 metros)	Pantanal -  início: out - fim: dez (Lorenzi, 1998a)	Pantanal -  início: ago -fim: set (Lorenzi, 1998a)	Madeireiro	NÃO	Abelhas (BROTEL & CARVALHO, 2004)	Anemocoria (vento)
Maclura tinctoria(L.) D.Don ex Steud.	Taiúva, Amoreira, Amarelinho, Tajuba, Tatajuba, Taiúva, Moreira, Tartajuba, Mora, Amora-brava, Amora-do-mato	Chlorophora tinctoria (L.) Gaudich. ex B.D. Jackson	Moraceae	Cerrado, Pantanal	Florestal, Savânica	Cerrado Típico, Cerradão, Chaco, Mata Ciliar, Mata Ripária, Mata Seca (decídua), Mata Semidecídua, Mata de Galeria	AC, AM, BA, CE, DF, ES, MA, MG, MS, MT, PA, PE, PI, PR, RO, RS, SC	Cerrado - nov-dez ; Pantanal -  set-nov	Colher os frutos diretamente da árvore quando iniciarem a queda. Em seguida  deixa-los em repouso por alguns dias para iniciar a decomposição e facilitar sua maceração em água. As sementes são separadas filtrando-se a suspensão dos frutos e deixando-seo filtrado secar ao sol	20 a 49% (regular)	"


T3 Floresta (BDF = BEM DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	330000	De um a dois anos em câmara fria.	Indireta em sementeira	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Rápido (entre 30 e 100 cm/ano)	P3=> BDF: espéceis de Mata Seca (Ex.: Myracrodruon urundeuva)	Árvore (> 3 metros)	Cerrado - ago-out ; Pantanal -  ago - set (Pott & Pott, 1994)	Cerrado - dez-jan ; Pantanal -  set - nov (Pott & Pott, 1994)	Alimentício, Artesanal, Melífero, Tanífero, Tintorial	SIM	Vento	Zoocoria (Fauna)
Macrolobium acaciifolium(Benth.) Benth.	Araparí	Macrolobium acaciifolium var. vestitum Sandwith, Vouapa acaciifolia Benth.	Fabaceae	Amazônia	Florestal	Mata Ciliar, Mata de Várzea, Terra Firme	AC, AM, AP, MA, MS, MT, PA, RO, RR	abr-mai	As vagens maduras devem ser colhidas diretamente da árvore antes da abertura natural. Em seguida, devem ser expostas ao sol para secar, o que facilita a abertura dos frutos e a liberação das sementes.	50 a 80% (boa)	"


3 partes de terra preta+ 1 parte de serragem +1  parte de esterco de gado ou cama de aviário

																
								[Saiba mais]
								
								



"				Direta em recipientes individuais	50%	NÃO (Pioneira típica)	Recobrimento		**Amazônia S01	Árvore (> 3 metros)	jul-nov	nov-mai	Madeireiro	SIM	Mariposas	Autocoria
Macroptilium atropurpureum(Sessé & Moc. ex DC.) Urb.	Siratro	Phaseolus atropurpureus Moc. & Sessé ex DC., Phaseolus vestitus Hook.	Fabaceae	Cerrado	Campestre	Campo Limpo	AL, BA, DF, ES, GO, MG, MS, MT, PA, PE, PR, RJ, RS, SC, SE, SP		Colher as vagens quando começarem a abertura expontânea. Deixar ao sol para secarem e completarem a abertura. Deve ser feita a escarificação de sementes antes da semeadura. Produz cerca de 100 a 150 kg/ha de sementes limpas. Com irrigação a quantidade pode ser aumentada.		"




																
								[Saiba mais]
								
								



"			Tempo indeterminado em câmara fria.				Recobrimento	Muito Rápido ( > 100 cm/ano)	Adubação fosfatada.	Liana			Forrageiro	NÃO	Abelhas	Autocoria
Macroptilium gibbosifolium (Ortega) A. Delgado		Macroptilium heterophyllum (Willd.) Maréchal & Baudet	Fabaceae	Pampa	Campestre	Campo Seco, Campo Úmido	RS	out-nov			"




																
								[Saiba mais]
								
								



"										Erva			Alimentício, Madeireiro, Medicinal, Ornamental			
Macroptilium prostratum(Benth.) Urb.		Phaseolus prostratus Benth.	Fabaceae	Pampa	Campestre, Savânica	Campo Seco, Campo Úmido, Vegetaçao Savanóide	GO, MG, MS, PR, RS, SC, SP	abril			"




																
								[Saiba mais]
								
								



"										Erva		out-nov	Forrageiro			
Macroptilium psammodes(Lindm.) S.I. Drewes & R.A. Palacios			Fabaceae	Pampa	Campestre	Campo Seco	RS	nov-abr			"




																
								[Saiba mais]
								
								



"										Erva			Forrageiro			
Magnolia ovata(A.St.-Hil.) Spreng.	Magnólia-do-brejo, Baguaçu, Canela Do Brejo, Pinha Brava, Pinha Do Brejo, Uvaguaçu, Pinheiro Do Brejo, Araticum-fruta-de-pau, Fruta-de-pau, Magnólia-branca, Pau-palheta, Avaguçu, Pau-pombo	Magnolia fragrantissima (Hook.) Linden, Magnolia irwiniana (Lozano) Govaerts, Magnolia selloi Spreng., Magnolia sellowiana (A.St.-Hil.) Govaerts, Talauma dubia Eichler, Talauma fragrantissima Hook., Talauma irwiniana Lozano, Talauma selloi (Spreng.) Steud., Talauma sellowiana A.St.-Hil., Talauma ovata A.St.-Hil.	Magnoliaceae	Cerrado	Florestal	Mata Ciliar, Mata de Galeria	DF, GO, MG, MS, PR, RJ, RS, SC, SP, TO	Cerrado - jun-set	Colher os frutos diretamente da árvore quando iniciarem a abertura espontanea, em seguida deixá-los ao sol para uma rápida secagem do arilo aderente, o qual não deve ser removido.	50 a 80% (boa)	"


T4 Floresta (MDF = MAL DRENADO FÉRTIL)

																
								[Saiba mais]
								
								



"	Rápido (entre 30 e 100 cm/ano)	4000 a 4100	Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.	Direta em recipientes individuais	50%	SIM (Tolerante em todo o ciclo de vida)	Diversidade	Lento (até 30 cm/ano)	P4=> MDF: espécies de zonas ripárias (Ex.: Protium heptaphyllum, Mauritia flexuosa)	Árvore (> 3 metros)	Cerrado - out-dez	Cerrado - ago-set	Artesanal, Cosmético, Forrageiro, Madeireiro, Medicinal, Oleaginoso, Ornamental	SIM	Besouros	Zoocoria (Fauna)
