id,Espécie,Nome Popular,Sinonímia,Gênero,Família,Bioma,Formação Vegetal,Fitofisionomias,Presença nos estados,Período de coleta de sementes,Beneficiamento de sementes,Porcentagem de germinação,Substrato da muda,Desenvolvimento da muda no viveiro,Número de sementes/kg,Armazenamento,Semeadura,Nível de sombreamento da muda no viveiro,Tolerância a Sombra,Estratégia ecológica de ocupação,Desenvolvimento da muda no campo,Recomendação de adubação no plantio no campo,Porte da planta,Período de floração,Período de frutificação,Uso Econômico,Caducifolia,Polinização,Dispersão
454,Mauritiella armata,Buritirana,Mauritia aculeata|Mauritiella martiana,Mauritiella,Arecaceae,amazonia,florestal|savanica,campinarana|mata ciliar|savana,ac|am|ba|go|ma|mt|pa|pe|pi|ro|rr|to,all: (ago-dez),Os frutos devem ser colhidos logo que iniciar a queda espontânea ou obter coloração acinzentada. Colocar em um recipiente de água com hipoclorido a 1% até amolecimento da polpa e fazer a despolpa a mão.,1.0,s1,0.0,0.2,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,3.0,2.0,diversidade,0.0,s01,palmeira,all: (jan-jun),all: (ago-dez),alimenticio,0.0,vento,zoocoria
455,Maytenus cassineformis,Coração-de-bugre,,Maytenus,Celastraceae,pampa,florestal|savanica,floresta estacional|mata ciliar|restinga|vegetacao savanoide,rs|sc,,,,,,,,,,,diversidade,,,arvore,,,,,insetos,zoocoria
456,Maytenus ilicifolia,Espinheira-santa|Cancerosa,Maytenus muelleri|Maytenus officinalis,Maytenus,Celastraceae,mata atlantica,florestal,floresta estacional decidual|floresta estacional semidecidual|floresta ombrofila densa|floresta ombrofila mista,ms|mt|pr|rs|se|sp,mata atlantica: <sp (ago-out)><rs (out-set)><pr (dez-out)><ms (out-out)>,Esfregar a polpa para facilitar a retirada da semente através de lavagem em água.,2.0,ga,0.0,3.2,Em câmara fria (5°C e 85% UR) ou em câmara seca (15°C e 45% UR).,1.0,,1.0,diversidade,0.0,,subarbusto,mata atlantica: <rs (set-set)><ms (ago-out)>,mata atlantica: (out-nov),madeireiro|ornamental,0.0,vespas|moscas,zoocoria
457,Maytenus rigida,Bom-homem|Bom-nome|Bonome|Cabelo-de-negro|Casca-grossa|Pau-de-colher.¹,,Maytenus,Celastraceae,caatinga,florestal|savanica,caatinga arborea|caatinga arbustiva,al|ba|ce|go|mg|pb|pe|pi|rn|se,all: (ago-dez),"Colher os frutos diretamente da árvore quando se iniciar a abertura espontânea. Em seguida, deixá-los secar à sombra para completarem sua abertura e facilitar a retirada manual das sementes. Antes da semeadura, recomenda-se fazer uma seleção para eliminar as sementes visivelmente danificadas.",,t3,0.0,20.0,,2.0,2.0,1.0,diversidade,0.0,p3,arvore,all: (mai-out),all: (ago-dez),madeireiro|medicinal|melifero,0.0,abelhas,zoocoria
458,Mesosetum chaseae,Grama-do-cerrado,Mesosetum cardonum|Mesosetum stoloniferum,Mesosetum,Poaceae,cerrado|pantanal,campestre|savanica,campo inundavel|campo rupestre|campo nao inundavel|cerrado tipico,ba|mg|ms|mt|rr,pantanal: (fev-mar),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,2.0,,,,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,recobrimento,,,erva,,pantanal: (fev-mar),forrageiro,0.0,vento,autocoria
459,Mesosetum loliiforme,Capim-canivete,Mesosetum acuminatum|Mesosetum altum|Mesosetum curtifolium|Mesosetum elongatum|Mesosetum latifolium|Mesosetum longifolium|Mesosetum pubescens|Mesosetum tenuifolium,Mesosetum,Poaceae,cerrado,campestre,campo limpo|campo rupestre|campo sujo,ac|am|ap|ba|ce|df|go|ma|mg|ms|mt|pa|pb|pi|rn|ro|rr|se|to,cerrado: (nov-abr),Coleta dos pendões com foice de mão. Observar que as sementes devem estar dispersando (soltando naturalmente dos pendões). Os pendões são passados em máquina trituradora de palha (ensiladeira) para desagregação das sementes.,3.0,,,,,1.0,,,,,,erva,cerrado: (nov-abr),cerrado: (nov-abr),forrageiro,0.0,vento,anemocoria
460,Metrodorea stipularis,Chupa-ferro|Caputuna|Caputuva|Cataguaí|Laranjeira-do-mato|Limoeiro-do-mato,,Metrodorea,Rutaceae,cerrado,florestal,mata seca|mata de galeria,df|go|mg|mt|pr|rj|sp,cerrado: (jun-jul),Colher os frutos diretamente da árvore quando iniciarem a abertura e liberação espontanea das sementes. Em seguida deixá-los ao sol para completar abertura e liberação das sementes.,,t3,,13.5,Tempo indeterminado em câmara fria.,1.0,1.0,1.0,diversidade,,p3,arvore,cerrado: (nov-jan),cerrado: (jun-jul),forrageiro|madeireiro|ornamental,0.0,abelhas|moscas,autocoria
461,Mezilaurus itauba,Itaúba|Itaúba-amarela|Itaúba-preta|Itaúba-abacate|Lorê,Acrodiclidium itauba|Acrodiclidium itauba|Mezilaurus anacardioides|Spruce ex|Oreodaphne hookeriana|Silvia polyantha|Silvia rondonii|Endiandra itauba|Mezia itauba|Silvia itauba,Mezilaurus,Lauraceae,amazonia,florestal,mata ciliar|mata de varzea|terra firme,ac|am|ap|mt|pa|ro|rr,all: (jun-ago),"Os frutos devem ser colhidos diretamente da árvore, quando maduros. Em seguida, deixá-los em saco plástico durante alguns dias para decomposição parcial da polpa. Isso facilita a despolpa em água corrente com auxílio de peneira para retirada da semente.",1.0,s1,0.0,0.48,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,,s01,arvore,all: (mar-abr),all: (jun-ago),madeireiro,0.0,abelhas,zoocoria
462,Miconia albicans,Folha-Branca|Pixirica,Melastoma albicans|Miconia heterochroa,Miconia,Melastomataceae,cerrado|pantanal,campestre|florestal|savanica,campo rupestre|campo sujo|campo de altitude (morraria)|campo nao inundavel|cerrado tipico|cerradao|parque de cerrado|vereda,ac|al|am|ap|ba|ce|df|es|go|mg|ms|mt|pa|pe|pi|pr|rj|rn|ro|rr|se|sp|to,cerrado: (out-dez); pantanal: (dez-jan),"Colher os frutos diretamente na árvore quando maduros com coloração verde clara. Remover a polpa dos frutos com peneira fina em água corrente para separar as pequenas sementes. Após, as sementes estarão prontas para semeadura.",2.0,t4,0.0,2500.0,Tempo indeterminado em câmara fria.,1.0,3.0,0.0,recobrimento,0.0,p2,arvore,cerrado: (set-out); pantanal: (ago-nov),cerrado: (out-dez); pantanal: (set-nov),,0.0,abelhas,zoocoria
463,Miconia burchellii,Pixirica,,Miconia,Melastomataceae,cerrado,florestal|savanica,cerrado rupestre|cerrado tipico|cerradao|mata seca|mata de galeria,df|go|mg|ms|mt|to,cerrado: (dez-fev),"Colher os frutos diretamente na árvore quando maduros com coloração roxa. Remover a polpa dos frutos com peneira fina em água corrente para separar as pequenas sementes. Após, as sementes estarão prontas para semeadura.",1.0,t1,1.0,2500.0,Tempo indeterminado em câmara fria.,1.0,1.0,2.0,recobrimento,1.0,p2,arvore,cerrado: (ago-nov),cerrado: (ago-fev),forrageiro|melifero|ornamental,0.0,abelhas,zoocoria
464,Miconia chamissois,Sabiazeira,,Miconia,Melastomataceae,cerrado,florestal|savanica,mata de galeria|vereda,ba|ce|df|go|ma|mg|ms|mt|pi|pr|rj|sp|to,cerrado: (out-nov),"Os frutos devem ser colhidos diretamente da árvore ao iniciarem a abertura espontânea. Em seguida, os frutos devem ser macerados e peneirados em peneira fina com o auxílio de água, por algumas vezes. Após esses procedimentos as sementes devem ser semeadas.",3.0,t4,1.0,,,1.0,1.0,2.0,recobrimento,0.0,p2,arbusto,cerrado: (jul-ago),cerrado: (set-nov),,0.0,abelhas,zoocoria
465,Miconia cinnamomifolia,Jacatirão,Miconia martiusiana,Miconia,Melastomataceae,mata atlantica,florestal,floresta ombrofila densa,ba|es|mg|pr|rj|se|sp,mata atlantica: (abr-jun),"Separar os frutos dos pedúnculos, deixá-los em repouso por alguns dias para iniciar a decomposição e fazer o maceramento em água para a liberação das sementes; em seguida filtrar e levar para secar ao sol.",2.0,ga,0.0,1900.0,"Câmara fria (-1 a 3°C) em embalagem hermética, sementes secas.",1.0,,0.0,recobrimento,,,arvore,mata atlantica: (nov-jan),mata atlantica: (dez-fev),alimenticio|latex|madeireiro|oleaginoso,0.0,abelhas,zoocoria
466,Miconia ferruginata,Pixirica,Miconia ferruginata,Miconia,Melastomataceae,cerrado,campestre|florestal|savanica,campo rupestre|campo sujo|cerrado rupestre|cerrado tipico|cerradao,ba|df|go|mg|ms|mt|pa|pb|pe|pi|se|sp|to,cerrado: (nov-dez),"Colher os frutos diretamente na árvore quando maduros com coloração roxa. Remover a polpa dos frutos com peneira fina em água corrente para separar as pequenas sementes. Após, as sementes estarão prontas para semeadura.",2.0,t1,0.0,2000.0,Tempo indeterminado em câmara fria.,1.0,1.0,0.0,recobrimento,0.0,p2,arvore,cerrado: (abr-set),cerrado: (abr-set),forrageiro|ornamental,0.0,abelhas,zoocoria
467,Miconia longifolia,Tinteiro|Papa-terra,,Miconia,Melastomataceae,amazonia,florestal,mata ciliar|mata de varzea|terra firme,ac|am|ap|ma|mt|pa|ro|rr|to,all: (abr-out),"Os frutos devem se colhidos diretamente da árvore quando maduros. Em seguida, deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Remover as sementes com o auxilio de água corrente e peneira fina e deixá-las secar em ambiente arejado à sombra.",2.0,s1,1.0,2000.0,Tempo indeterminado em câmara fria.,1.0,1.0,0.0,recobrimento,1.0,s01,arvoreta,all: (abr-jul),all: (abr-out),alimenticio,0.0,abelhas,zoocoria
468,Micropholis guyanensis,Curupixá,Sideroxylon guyanense,Micropholis,Sapotaceae,amazonia,florestal,mata de varzea|terra firme,ac|am|ap|ba|df|es|go|ma|mt|pa|ro|rr|to,all: (nov-mar),"Os frutos devem se colhidos diretamente da árvore quando maduros. Em seguida, deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Remover as sementes com o auxilio de água corrente na peneira e deixá-las secar em ambiente arejado à sombra.",,s1,0.0,,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,1.0,diversidade,0.0,s01,arvore,all: (jul-set),all: (set-mar),alimenticio|madeireiro,0.0,abelhas,zoocoria
469,Mimosa bimucronata,Maricá|Espinheiro|Alagadico (PE)|Amorosa (PB)|Angiquinho (PR)|Arranha-gato (MG)|Espinheira|Espinheira-de-cerca|Espinheira-de-maricá|Espinheiro (AL|PE|RS|SC|SP)|Maricazeiro|Unha-de-gato (RJ).,Acacia brimucronata,Mimosa,Fabaceae,mata atlantica|pampa,florestal|savanica,floresta estacional|floresta estacional semidecidual|floresta ombrofila densa|mata ciliar|restinga|restinga arborea/arbustiva,al|ba|ce|df|es|go|ma|mg|ms|pb|pr|rj|rs|sc|se|sp,mata atlantica: (abr-jun),"Após iniciarem abertura espontânea, levar os frutos para secarem ao sol.",4.0,ga,1.0,92.5,"ortodoxa, perdendo a viabilidade em após 4 anos.",2.0,,0.0,recobrimento,2.0,,arbusto,mata atlantica: (jan-mar); pampa: (jan-mar),mata atlantica: (mar-abr); pampa: (abr-jun),artesanal|cosmetico|latex|madeireiro|medicinal|ornamental,1.0,abelhas,anemocoria
470,Mimosa claussenii,Mimosa,,Mimosa,Fabaceae,cerrado,campestre|savanica,campo rupestre|cerrado rupestre|cerrado tipico,df|go|mg|to,cerrado: (jul-set),Coleta manual dos frutos secos que são triturados em máquina trituradora de palha (ensiladeira) e peneirados para separar as sementes.,2.0,,,31.0,,,,,diversidade,0.0,,arbusto,cerrado: (jan-jun),cerrado: (mai-set),,0.0,abelhas,autocoria
471,Mimosa scabrella,Alecrim-da-beira-do-rio|Bracaatinga,Mimosa bracaatinga,Mimosa,Fabaceae,mata atlantica,florestal,floresta ombrofila densa|floresta ombrofila mista,mg|pr|rj|rs|se|sp,mata atlantica: (nov-jan),Colher os frutos quando ocorrer a abertura espontânea. Em seguida levar ao sol para completar a liberação das sementes.,4.0,ga,1.0,66.0,Condições normais de temperatura e umidade,2.0,,0.0,recobrimento,1.0,,arbusto,mata atlantica: (jun-ago),mata atlantica: (set-dez),latex|madeireiro|medicinal|oleaginoso|ornamental,1.0,abelhas,autocoria
472,Mimosa tenuiflora,Jurema-preta|Calumbi|Jurema|Tepezcohuite (México)¹,Acacia hostilis|Acacia tenuiflora,Mimosa,Fabaceae,caatinga,florestal|savanica,caatinga arborea|caatinga arbustiva|caatinga ciliar,al|ba|ce|ma|mg|pb|pe|pi|rn|se,all: (fev-set),"Colher os frutos diretamente da árvore quando
iniciarem a abertura espontânea. Antes da semeadura,
recomenda-se escarificar as sementes.",3.0,t3,1.0,110.0,,2.0,1.0,1.0,diversidade,0.0,p3,arvore,all: (set-mar),all: (fev-set),cosmetico|forrageiro|madeireiro|medicinal|melifero|tanifero|toxico para animais|cultural/ritualistico,1.0,abelhas,autocoria
473,Minquartia guianensis,Acariquara|Acariquara-roxa|Acari|Arariúba|Acaximba,Eganthus poeppigii|Endusa punctata|Minquartia macrophylla|Minquartia parvifolia|Minquartia punctata|Secretania loranthacea,Minquartia,Olacaceae,amazonia,campestre|florestal,campos naturais|mata ciliar|mata de varzea,ac|am|ap|es|ma|mt|ro|rr,all: (jul-ago),"Os frutos devem se colhidos diretamente da árvore quando maduros ou no chão. Em seguida, deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Remover as sementes com o auxilio de água corrente na peneira e deixá-las secar em ambiente arejado à sombra.",1.0,s1,0.0,0.55,af,1.0,1.0,1.0,diversidade,,s01,arvore,all: (jun-jul),all: (jul-ago),forrageiro,0.0,abelhas|besouros,zoocoria
474,Mnesithea selloana,,Rottboellia selloana,Mnesithea,Poaceae,pampa,campestre,campo seco|campo umido,rs|sc,,,,,,,,,,,,,,erva,,,,,,
475,Moquiniastrum polymorphum,Cambará,Gochnatia polymorpha,Moquiniastrum,Asteraceae,pampa,florestal,floresta estacional|mata ciliar,ba|es|go|mg|ms|pr|rj|rs|sc|sp,,"Colher os frutos diretamente da árvore quando iniciarem a dispersão espontânea, pode ser facilitada colhendo as inflorescências, que devem ser deixadas secar ao sol em local protegido pelo vento.",,,,2200.0,"recalcitrante, podendo perder o poder germinativo em 3 meses.",1.0,,0.0,recobrimento,,,arvore,all: (out-fev),all: (dez-mai),latex|madeireiro|medicinal|oleaginoso,1.0,insetos|abelhas,anemocoria
476,Mouriri apiranga,Apiranga|Muiraúba,,Mouriri,Melastomataceae,amazonia,florestal|savanica,mata de varzea|savana|terra firme,ac|am|mt|pa|ro,all: (ago-out),"Os frutos devem se colhidos diretamente da árvore quando maduros. Em seguida, deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Remover as sementes com o auxilio de água corrente na peneira e deixá-las secar em ambiente arejado à sombra.",,s1,0.0,,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,0.0,recobrimento,0.0,s01,arvoreta,all: (out-jan),all: (ago-out),alimenticio,0.0,abelhas,zoocoria
477,Mouriri elliptica,Coroa-de-frade|Coroa,,Mouriri,Melastomataceae,pantanal,campestre|florestal|savanica,campo nao inundavel|cerrado tipico|cerradao,ba|go|ma|ms|mt|pi|to,pantanal: (out-dez),Colher os frutos diretamente na árvore quando maduros. Deixar os frutos durante alguns dias em saco plástico para decomposição parcial da polpa e despolpar com o auxilio de água corrente e peneira para obtenção das sementes.,2.0,t1,0.0,0.66,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,3.0,0.0,diversidade,0.0,,arvore,pantanal: (out-nov),pantanal: (jan-dez),alimenticio|forrageiro|melifero|ornamental|tanifero,0.0,abelhas|vespas,zoocoria
478,Mouriri guianensis,Gurguri|Muiraúba,Mouriri ulei|Mouriri weddellii,Mouriri,Melastomataceae,amazonia,florestal|savanica,mata ciliar|mata de varzea|restinga|savana|terra firme,al|am|ba|ce|es|go|mg|ms|mt|pa|pi|rj|rn|ro|se|to,all: (dez-abr),"Os frutos devem se colhidos diretamente da árvore quando maduros. Em seguida, deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Remover as sementes com o auxilio de água corrente na peneira e deixá-las secar em ambiente arejado à sombra.",4.0,s1,0.0,6.2,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,0.0,diversidade,0.0,s01,arvore,all: (set-fev),all: (dez-abr),alimenticio|madeireiro|ornamental,0.0,abelhas,zoocoria
479,Mouriri pusa,Puçá|Manapuçá|Puçá-preta|Jabuticaba-do-campo|Jabuticaba-do-cerrado|Munduru|Moroso-cigano,,Mouriri,Melastomataceae,cerrado,savanica,cerrado tipico,go|mg|pa,cerrado: (jul-dez),"Os frutos devem se colhidos diretamente da árvore, em seguida deixá-los amontoados em saco plástico até o apodrecimento parcial da polpa. Para retirar as sementes recomenda-se macerar em peniera.",3.0,t1,,4.8,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,1.0,1.0,0.0,diversidade,,p2,arvore,cerrado: (mar-ago),cerrado: (jul-dez),alimenticio|madeireiro|ornamental,1.0,abelhas,zoocoria
480,Muellera campestris,Rabo-de-macaco,Lonchocarpus campestris|Lonchocarpus leucanthus|Lonchocarpus mollis,Muellera,Fabaceae,pampa,florestal,floresta estacional|mata ciliar,ba|ce|es|mg|pb|pr|rj|rs|sc|sp,,colher o fruto diretamente da árvore quando o fruto estiver comcoloração alaranjada.  Deve-se cortar a asa da sâmara para a semeadura e armazenamento.,,,,,,2.0,,0.0,diversidade,,,arvore,all: (mai-mai),all: (jun-jul),latex|medicinal|oleaginoso,1.0,abelhas,anemocoria
481,Myracrodruon balansae,Pau-ferro,Astronium balansae,Myracrodruon,Anacardiaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|vegetacao savanoide,rs,,"Colheita é feita diretamente na árvore, os frutos são levados para ambiente ventilado e as sementes extraídas manualmente.",3.0,,1.0,15.625,recalcitrante,1.0,,0.0,recobrimento,,,arvore,all: (nov-jan),all: (jan-fev),latex|tanifero,1.0,abelhas|insetos pequenos,anemocoria
482,Myracrodruon urundeuva,Aroeira|Urundeúva|Aroeira-do-sertão|Aroeira-do-campo|Aroeira-da-serra|Urindeúva|Arindeúva|Arendiúva|Aroeira-preta,Astronium urundeuva,Myracrodruon,Anacardiaceae,caatinga|cerrado|mata atlantica|pantanal,florestal|savanica,caatinga arborea|caatinga arbustiva|caatinga ciliar|cerrado rupestre|cerrado tipico|cerradao|chaco|floresta estacional decidual|floresta estacional semidecidual|mata ciliar|mata seca|mata seca (decidua)|mata semidecidua,al|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pi|rj|rn|se|sp|to,cerrado: (ago-out); mata atlantica: (set-out); pantanal: (set-nov); caatinga: (ago-out),"Colher os frutos diretamente da árvore quando apresentarem coloração escura e tiver inicío a queda espontânea. Os frutos colhidos deverão ser colocados em local sombreado e ventilado para completar o ciclo de maturação, a seguir devem ser esfregados manualmente em peneira para remoção das sementes. Os frutos também podem ser usados para semeadura.",4.0,t3,1.0,60.25,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,1.0,0.0,diversidade,1.0,p3,arvore,cerrado: (jan-jul); mata atlantica: (jun-jul) (jan-jul); pantanal: (ago-set); caatinga: (jun-set),cerrado: (set-out); mata atlantica: (jul-set) (set-out); pantanal: (set-out); caatinga: (ago-out),forrageiro|madeireiro|medicinal|melifero|ornamental|resina|tanifero|cultural/ritualistico,1.0,abelhas,anemocoria
483,Myrcianthes cisplatensis,Araçá-do-prata,Myrcianthes cisplatensis,Myrcianthes,Myrtaceae,pampa,florestal|savanica,mata ciliar|restinga|vegetacao savanoide,rs,,"colher do chão. Deixar os frutos no sol para secar rapidamente, não há necessidade de despolpar, semea-se o fruto.",2.0,,0.0,13.3,recalcitrante,1.0,,0.0,diversidade,0.0,,arvore,all: (nov-dez),all: (jan-mar),latex|oleaginoso,1.0,insetos|aves,zoocoria
484,Myrcianthes gigantea,Araçá-do-mato,Myrcianthes gigantea,Myrcianthes,Myrtaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|restinga|vegetacao savanoide,mg|pr|rs|sc,,"Frutos colhidos maduros, lavado e postos para secar a sombra.",1.0,,,12.5,recalcitrante,1.0,,2.0,diversidade,,,arvore,all: (out-nov),all: (dez-fev),latex|madeireiro|oleaginoso,0.0,insetos,zoocoria
485,Myrcianthes pungens,Guabiju|Guabiroba-açu|Guabiju-guaçu|Guabira-guaçu|Guavira-guaçu,Myrcianthes pungens,Myrcianthes,Myrtaceae,pampa,florestal,floresta estacional|mata ciliar,df|go|mg|ms|pr|rs|sc|sp,,"Colher os frutos diretamente da árvore quando estiverem maduros, ou colher do chão. Deixar os frutos aglomerados por alguns dias e despolpar em água corrente, deixar as sementes secar a sombra.",3.0,,0.0,4.0,recalcitrante,1.0,,2.0,diversidade,0.0,,arvore,all: (out-nov),all: (jan-mar),alimenticio|latex|medicinal|oleaginoso,0.0,abelhas|moscas,zoocoria
486,Myrciaria cuspidata,Camboim,Myrciaria cuspidata,Myrciaria,Myrtaceae,pampa,florestal,floresta estacional|mata ciliar|restinga,ba|ce|mg|ms|mt|pi|pr|rs|sc|sp|to,,Frutos colhidos diretamente da árvore ou quando iniciar a queda. Lavar em água corrente.,,,,8.6,,1.0,,,diversidade,0.0,,arvore,,all: (nov-dez),oleaginoso,0.0,insetos,zoocoria
487,Myrciaria dubia,Câmu-Câmu,Psidium dubium|Eugenia grandiglandulosa|Marlierea macedoi|Myrciaria divaricata|Myrciaria lanceolata|Myrciaria obscura|Myrciaria paraensis|Myrciaria phillyraeoides|Myrciaria riedeliana|Myrciaria spruceana|Myrtus phillyraeoides,Myrciaria,Myrtaceae,amazonia,florestal,mata ciliar|mata de varzea,ac|am|mt|pa|ro|rr,all: (out-fev),Colher os frutos diretamente da árvore quando estivrem maduros. A despolpa do fruto deverá ser manual em água corrente utilizando-se uma peneira. Plantar as sementes logo que despolpadas.,4.0,s1,1.0,,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,3.0,0.0,recobrimento,0.0,s01,arvoreta,all: (out-mar),all: (out-fev),alimenticio,0.0,abelhas,zoocoria
488,Myrciaria tenella,Camboim,Myrciaria tenella,Myrciaria,Myrtaceae,pampa,florestal,floresta estacional|mata ciliar,ba|ma|mg|pa|pr|rj|rs|sc|sp,,Frutos colhidos diretamente da árvore ou quando iniciar a queda. Lavar em água corrente.,,,,17.0,,1.0,,2.0,diversidade,0.0,,arvore,all: (mar-abr),all: (abr-mai),alimenticio|latex|oleaginoso,1.0,insetos,zoocoria
489,Myrcia palustris,Pitangueira-do-mato|Cambuí|Guamirim,Aulomyrcia garopabensis|Gomidesia banisteriifolia|Gomidesia gardneriana|Gomidesia garopabensis|Myrcia banisteriifolia|Myrcia garopabensis|Gomidesia palustris,Myrcia,Myrtaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|restinga|vegetacao savanoide,ba|es|mg|mt|pr|rj|rs|sc|sp,,Frutos colhidos diretamente da árvore ou quando iniciar a queda. Lavar em água corrente.,,,0.0,,recalcitrante,1.0,,0.0,recobrimento,,,arvore,,,alimenticio|medicinal|oleaginoso,0.0,insetos,zoocoria
490,Myrcia selloi,Guamirim,Myrtus selloi|Aulomyrcia ramulosa|Myrcia hassleriana|Myrcia microsiphonata|Myrcia ramulosa|Myrcia smithii|Aulomyrcia selloi,Myrcia,Myrtaceae,pampa,florestal|savanica,floresta estacional|mata ciliar|vegetacao savanoide,pr|rs|sc|sp,,"Colher os frutos diretamente da árvore quando estiverem maduros, ou colher do chão. Deixar os frutos secar a sombra, não há necessidade de despolpar, semea-se o fruto.",1.0,,0.0,51.8,recalcitrante,1.0,,0.0,diversidade,0.0,,arvore,all: (out-dez),all: (nov-dez),alimenticio|latex|oleaginoso,1.0,insetos,zoocoria
491,Myrcia splendens,Folha-miúda-branca|Guamirim-chorão|Lanceira|Guamirim-de-folha-fina|Guamirim-de-folha-miúda|Araçazinho,Myrtus splendens|Aulomyrcia costata|Aulomyrcia doniana|Aulomyrcia wullschlaegeliana|Cumetea divaricata|Eugenia divaricata|Eugenia fallax|Eugenia laxiflora|Eugenia mollis|Eugenia paniculiflora|Eugenia periplocifolia|Myrcia acuminata|Myrcia acutata|Myrcia acutiloba|Myrcia aguitensis|Myrcia alagoensis|Myrcia augustana|Myrcia ayresiana|Myrcia barrensis|Myrcia belizensis|Myrcia berberis|Myrcia brachylopadia|Myrcia bracteolaris|Myrcia brandamii|Myrcia cancellata|Myrcia catharinae|Myrcia chilensis|Myrcia ciarensis|Myrcia communis|Myrcia complicata|Myrcia compressa|Myrcia corcovadensis|Myrcia coroicensis|Myrcia costa|Myrcia costata|Myrcia coumetoides|Myrcia cucullata|Myrcia deflexa|Myrcia dictyoneura|Myrcia discolor|Myrcia divaricata|Myrcia doniana|Myrcia elongata|Myrcia erythroxylon|Myrcia fallax|Myrcia formosiana|Myrcia friburgensis|Myrcia gardneriana|Myrcia govinha|Myrcia gracilis|Myrcia guajavifolia|Myrcia hayneana|Myrcia hilariana|Myrcia humboldtiana|Myrcia imperatoris|Myrcia impressa|Myrcia kegeliana|Myrcia klotzschiana|Myrcia kunthiana|Myrcia laevigata|Myrcia lamprosericea|Myrcia langsdorffii|Myrcia latifolia|Myrcia lindeniana|Myrcia linkiana|Myrcia longicaudata|Myrcia luetzelburgii|Burret ex|Myrcia macrophylla|Myrcia magnoliifolia|Myrcia martiana|Myrcia martinicensis|Myrcia melanoclada|Myrcia melanosticta|Myrcia micrantha|Myrcia mikaniana|Myrcia negrensis|Myrcia neodoniana|Myrcia nitens|Myrcia oocarpa|Myrcia opaca|Myrcia oxyoentophylla|Myrcia pellucida|Myrcia pohliana|Myrcia pseudomini|Myrcia regnelliana|Myrcia riedeliana|Myrcia riparia|Myrcia rostrata|Myrcia rufidula|Myrcia rufula|Myrcia sartoriana|Myrcia saxicola|Myrcia schaueriana|Myrcia schottiana|Myrcia schuechiana|Myrcia sellowiana|Myrcia sepiaria|Myrcia sericea|Myrcia sericiflora|Myrcia sororia|Myrcia spruceana|Myrcia sulcata|Myrcia superba|Myrcia tingens|Myrcia velloziana|Myrcia velutina|Myrcia venezuelensis|Myrcia ypanemensis|Myrtus acuminata|Myrtus bracteolaris|Myrtus complicata|Myrtus deflexa|Myrtus dioica|Myrtus fulva|Myrtus polyantha|Myrtus stoupii,Myrcia,Myrtaceae,amazonia|cerrado|pantanal,florestal|savanica,cerradao|mata ciliar|mata riparia|mata de galeria|savana|terra firme,ac|al|am|ap|ba|ce|df|es|go|ma|mg|ms|mt|pa|pb|pe|pr|rj|rn|ro|rr|rs|sc|se|sp|to,cerrado: (dez-mar); pantanal: (set-nov),"Colher os frutos diretamente na árvore quando apresentarem coloração roxa. Depois, despolpar manualmente em água corrente com auxílio de peneira com malha apropriada com cuidado para não danificar as sementes, que são frágeis.",2.0,t3,1.0,4.0,Semente recalcitrante. Pouco tempo de armazenamento em câmara fria.,2.0,3.0,1.0,recobrimento,1.0,p3,arvore,cerrado: (nov-fev); pantanal: (mar-set),cerrado: (jan-mar); pantanal: (abr-nov),alimenticio|artesanal|forrageiro|madeireiro|melifero|ornamental|tanifero,1.0,abelhas,zoocoria
